year,region,asthma_2000_pop,asthma_2000_pop_urban,asthma_2000_pop_non_urban,asthma_2000_exp,asthma_2000_exp_urban,asthma_2000_exp_non_urban,asthma_2000_rate,asthma_2000_rate_urban,asthma_2000_rate_non_urban
2015,32,18641.291,7993.2563,0.0010602396,16185.741,7394.064,0.0008753527,18431.299,8166.007,0.0010221296
2015,42,30877.658,12353.427,0.009310189,33624.934,13590.678,0.010069106,25096.357,10224.07,0.007474729
2015,56,47177.547,29838.61,0.00040507762,48722.906,31774.098,0.00039596533,49781.285,32915.89,0.00039401776
2015,65,68812.79,58371.965,0.01595508,49719.492,43416.844,0.009631336,65813.664,56069.24,0.014890896
2015,70,5205.9175,3848.6555,0.00013027228,7023.4785,5340.5864,0.00016152675,6939.2363,5162.004,0.00017058171
2015,73,104057.67,61176.215,0.0036692447,144963.77,87447.52,0.004902486,107887.94,66397.01,0.0035502582
2015,96,32268.668,24237.674,0.0014973349,36221.312,27592.758,0.0016069202,31146.611,23592.373,0.0014084509
2015,100,340001.97,231258.81,0.0029031779,624035.3,413765.06,0.005610964,260861.69,177370.64,0.002229017
2015,104,16415.04,11820.048,0.0063810297,17245.742,12530.212,0.006548422,17178.271,12679.346,0.0062476248
2015,120,34744.85,25722.516,0.0028713609,39540.938,30195.945,0.0029667597,46411.414,35117.973,0.0035941342
2015,124,109655.78,85437.41,0.0044379937,129644.0,102944.24,0.0048863613,109650.44,84399.43,0.004627225
2015,134,136917.5,104543.87,0.0030345416,121260.54,94626.67,0.0024965282,144244.02,110861.266,0.003129133
2015,138,203174.78,123615.24,0.004324084,205936.58,132270.38,0.0040037874,225414.9,146550.16,0.0042863297
2015,159,138054.89,74423.75,0.011769241,119783.68,69315.58,0.009330073,121963.35,67550.79,0.010064157
2015,167,2827.2952,2134.8208,0.000121717065,7278.565,6550.4775,0.00012797592,11797.918,10496.486,0.00022875342
2015,174,25044.693,13265.919,0.0014999206,29977.75,17611.924,0.0015746739,41201.496,23711.07,0.0022272521
2015,192,13353.463,8641.58,0.0011985174,12311.194,8713.665,0.0009150705,19149.137,13175.424,0.0015194782
2015,199,46584.016,30688.904,0.0016954385,61765.477,42382.75,0.0020674404,75922.43,50846.246,0.0026747333
2016,5,299102.3,163421.2,0.00989241,312559.78,178035.67,0.009807129,212500.33,122522.56,0.006560199
2016,9,122443.54,88938.32,0.0062942137,105563.3,84955.266,0.0038691326,125007.9,94712.516,0.005691214
2016,21,182.3475,45.796635,0.00022044357,133.98961,48.364735,0.00013811782,303.2786,68.519516,0.00037898787
2016,32,19406.14,8239.809,0.001111848,17723.45,8275.629,0.0009406827,20123.31,9065.584,0.001101033
2016,42,30195.55,12113.661,0.009087858,33858.594,13660.537,0.010151437,24337.787,9930.806,0.00724088
2016,56,48792.027,30825.312,0.0004197449,55060.96,36020.773,0.00044482457,52158.59,34356.945,0.00041588882
2016,65,66734.11,56559.453,0.01554832,49999.258,43695.395,0.00963322,63493.504,54132.996,0.014304209
2016,70,5327.4585,3926.131,0.00013450188,7119.8145,5413.89,0.00016373754,6933.0854,5139.5205,0.00017214927
2016,73,101292.87,59195.14,0.0036030405,144407.77,86922.62,0.0048998417,105758.78,64966.492,0.0034913097
2016,96,32147.08,24016.213,0.001515762,36908.207,28174.523,0.001626505,31064.291,23460.436,0.0014175132
2016,100,333482.44,225800.98,0.002875015,619211.9,410574.25,0.0055673844,256054.6,173411.97,0.0022064985
2016,104,16655.678,12012.551,0.006447877,17671.986,12849.918,0.0066963835,17203.809,12692.133,0.0062653376
2016,120,34843.105,25820.148,0.0028672589,40699.074,31000.002,0.0030791746,46535.207,35175.215,0.0036099053
2016,124,110604.266,85710.51,0.004562099,132206.61,104450.78,0.0050796443,108630.695,82701.5,0.004751879
